"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"hi","7","English","पंक्ति: 'हम उत्तर, दक्षिण, पूर्व, पश्चिम घूमे।' यहाँ क्या प्रमुख है?","भारत की विविधता","उसका डर","उसका आलस्य","उसका गुस्सा","भारत की विविधता","easy","North South East West"
"mr","7","English","ओळ: 'आम्ही उत्तर, दक्षिण, पूर्व, पश्चिम फिरलो.' येथे काय ठळक आहे?","भारताची विविधता","तिची भीती","तिचा आळस","तिचा राग","भारताची विविधता","easy","North South East West"
"en","7","English","Extract: 'The mountains were covered with snow.' What natural feature is described?","Desert","Sea","Mountains","Forest","Mountains","medium","North South East West"
"hi","7","English","अंश: 'पहाड़ बर्फ से ढके थे।' कौन सा प्राकृतिक दृश्य वर्णित है?","रेगिस्तान","समुद्र","पहाड़","जंगल","पहाड़","medium","North South East West"
"mr","7","English","उद्धरण: 'डोंगर बर्फाने झाकले होते.' कोणते नैसर्गिक दृश्य वर्णन केले आहे?","वाळवंट","समुद्र","डोंगर","जंगल","डोंगर","medium","North South East West"
"en","7","English","Line: 'We saw temples and forts.' What aspect of India is shown?","Culture","Science","Technology","Politics","Culture","medium","North South East West"
"hi","7","English","पंक्ति: 'हमने मंदिर और किले देखे।' भारत का कौन सा पहलू दिखता है?","संस्कृति","विज्ञान","प्रौद्योगिकी","राजनीति","संस्कृति","medium","North South East West"
"mr","7","English","ओळ: 'आम्ही मंदिरे आणि किल्ले पाहिले.' भारताचा कोणता पैलू दिसतो?","संस्कृती","विज्ञान","तंत्रज्ञान","राजकारण","संस्कृती","medium","North South East West"
"en","7","English","Extract: 'The postcards showed vibrant landscapes.' Which literary device is used?","Imagery","Simile","Metaphor","Alliteration","Imagery","hard","North South East West"
"hi","7","English","अंश: 'पोस्टकार्ड में जीवंत दृश्य दिखाए गए।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","चित्रात्मकता","उपमा","रूपक","अनुप्रास","चित्रात्मकता","hard","North South East West"
"mr","7","English","उद्धरण: 'पोस्टकार्डमध्ये रंगीबेरंगी दृश्ये दाखवली.' येथे कोणता अलंकार वापरला आहे?","प्रतिमा","उपमा","रूपक","अनुप्रास","प्रतिमा","hard","North South East West"
"en","7","English","Grammar: Identify the noun in 'We travelled across India.'","We","Travelled","India","Across","India","easy","North South East West"
"hi","7","English","व्याकरण: 'We travelled across India.' में संज्ञा पहचानें।","We","Travelled","India","Across","India","easy","North South East West"
"mr","7","English","व्याकरण: 'We travelled across India.' मध्ये नाम ओळखा.","We","Travelled","India","Across","India","easy","North South East West"
"en","7","English","Line: 'The sea was endless and blue.' What human quality is reflected?","Imagination","Fear","Anger","Laziness","Imagination","medium","North South East West"
"hi","7","English","पंक्ति: 'समुद्र अंतहीन और नीला था।' कौन सा मानवीय गुण दिखता है?","कल्पना","डर","गुस्सा","आलस्य","कल्पना","medium","North South East West"
"mr","7","English","ओळ: 'समुद्र अंतहीन आणि निळा होता.' कोणता मानवी गुण दिसतो?","कल्पनाशक्ती","भीती","राग","आळस","कल्पनाशक्ती","medium","North South East West"
"en","7","English","Extract: 'Suraj stood near the cutting, waiting for the midday train.' Why was Suraj waiting?","To catch the train","To watch the engine","To meet his father","To go to Delhi","To watch the engine","easy","The Tunnel"
"hi","7","English","अंश: 'सूरज कटिंग के पास खड़ा था, दोपहर की ट्रेन का इंतजार कर रहा था।' सूरज क्यों इंतजार कर रहा था?","ट्रेन पकड़ने के लिए","इंजन देखने के लिए","अपने पिता से मिलने के लिए","दिल्ली जाने के लिए","इंजन देखने के लिए","easy","The Tunnel"
"mr","7","English","उद्धरण: 'सुरज कटिंगजवळ उभा होता, दुपारच्या गाडीची वाट पाहत होता.' सुरज का वाट पाहत होता?","गाडी पकडण्यासाठी","इंजिन पाहण्यासाठी","वडिलांना भेटण्यासाठी","दिल्लीला जाण्यासाठी","इंजिन पाहण्यासाठी","easy","The Tunnel"
"en","7","English","Line: 'The steam engine shot out of the tunnel, snorting and puffing.' What is the engine compared to?","A dragon","A horse","A leopard","A bus","A dragon","medium","The Tunnel"
"hi","7","English","पंक्ति: 'भाप इंजन सुरंग से निकला, फुफकारता और फुफकारता हुआ।' इंजन की तुलना किससे की गई है?","एक ड्रैगन","एक घोड़ा","एक तेंदुआ","एक बस","एक ड्रैगन","medium","The Tunnel"
"mr","7","English","ओळ: 'वाफेचे इंजिन बोगद्यातून बाहेर आले, फुसफुसत.' इंजिनची तुलना कशाशी केली आहे?","एक ड्रॅगन","एक घोडा","एक बिबट्या","एक बस","एक ड्रॅगन","medium","The Tunnel"
"en","7","English","Extract: 'The tunnel grew darker as he walked further into it.' What did Suraj feel?","Excited","Afraid","Angry","Lazy","Afraid","medium","The Tunnel"
"hi","7","English","अंश: 'जैसे-जैसे वह आगे बढ़ा, सुरंग और अंधेरी हो गई।' सूरज कैसा महसूस कर रहा था?","उत्साहित","डर","गुस्सा","आलसी","डर","medium","The Tunnel"
"mr","7","English","उद्धरण: 'तो पुढे चालत गेला तसे बोगदा अधिक काळोख झाला.' सुरजला कसे वाटले?","उत्साहित","भीती","राग","आळस","भीती","medium","The Tunnel"
"en","7","English","Line: 'It was a leopard you saw, said the watchman.' What animal did Suraj glimpse?","Tiger","Leopard","Dog","Cow","Leopard","easy","The Tunnel"
"hi","7","English","पंक्ति: 'वह तेंदुआ था जिसे तुमने देखा, चौकीदार ने कहा।' सूरज ने कौन सा जानवर देखा?","बाघ","तेंदुआ","कुत्ता","गाय","तेंदुआ","easy","The Tunnel"
"mr","7","English","ओळ: 'तो बिबट्या होता जो तू पाहिलास, चौकीदार म्हणाला.' सुरजने कोणता प्राणी पाहिला?","वाघ","बिबट्या","कुत्रा","गाय","बिबट्या","easy","The Tunnel"
"en","7","English","Extract: 'It is safer in the jungle than in the town.' What does Sunder Singh believe?","Town is safer","Jungle is safer","Neither is safe","Only trains are safe","Jungle is safer","medium","The Tunnel"
"hi","7","English","अंश: 'जंगल में रहना शहर से ज्यादा सुरक्षित है।' सुंदर सिंह क्या मानते हैं?","शहर सुरक्षित है","जंगल सुरक्षित है","दोनों असुरक्षित हैं","केवल ट्रेनें सुरक्षित हैं","जंगल सुरक्षित है","medium","The Tunnel"
"mr","7","English","उद्धरण: 'जंगलात राहणे शहरापेक्षा सुरक्षित आहे.' सुंदर सिंह काय मानतात?","शहर सुरक्षित आहे","जंगल सुरक्षित आहे","दोन्ही असुरक्षित आहेत","फक्त गाड्या सुरक्षित आहेत","जंगल सुरक्षित आहे","medium","The Tunnel"
"en","7","English","Line: 'If we don’t drive the leopard out, it will be run over.' What was the watchman’s concern?","Leopard’s safety","Train’s delay","Suraj’s fear","His own safety","Leopard’s safety","medium","The Tunnel"
"hi","7","English","पंक्ति: 'अगर हम तेंदुए को बाहर नहीं निकालेंगे, तो वह कुचल जाएगा।' चौकीदार की चिंता क्या थी?","तेंदुए की सुरक्षा","ट्रेन की देरी","सूरज का डर","अपनी सुरक्षा","तेंदुए की सुरक्षा","medium","The Tunnel"
"mr","7","English","ओळ: 'जर आपण बिबट्याला बाहेर काढले नाही, तर तो चिरडला जाईल.' चौकीदाराची चिंता काय होती?","बिबट्याची सुरक्षा","गाडीची उशीर","सुरजची भीती","त्याची स्वतःची सुरक्षा","बिबट्याची सुरक्षा","medium","The Tunnel"
"en","7","English","Grammar: Identify the sound word in 'The rails were beginning to hum.'","Rails","Hum","Beginning","To","Hum","easy","The Tunnel"
"hi","7","English","व्याकरण: 'पटरी गुनगुनाने लगी।' में ध्वनि शब्द पहचानें।","पटरी","गुनगुनाना","शुरू","को","गुनगुनाना","easy","The Tunnel"
"mr","7","English","व्याकरण: 'रेल्वे पटरी गाऊ लागली.' मध्ये ध्वनी शब्द ओळखा.","रेल्वे","गाणे","सुरू","ला","गाणे","easy","The Tunnel"
"en","7","English","Extract: 'The train charged straight at the tunnel, scattering sparks.' Which literary device is used?","Imagery","Simile","Metaphor","Alliteration","Imagery","hard","The Tunnel"
"hi","7","English","अंश: 'ट्रेन सीधे सुरंग की ओर दौड़ी, चिंगारियाँ बिखेरती हुई।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","चित्रात्मकता","उपमा","रूपक","अनुप्रास","चित्रात्मकता","hard","The Tunnel"
"mr","7","English","उद्धरण: 'गाडी थेट बोगद्याकडे धावली, ठिणग्या उधळत.' येथे कोणता अलंकार वापरला आहे?","प्रतिमा","उपमा","रूपक","अनुप्रास","प्रतिमा","hard","The Tunnel"
"en","7","English","Extract: 'My heart is warm with friends I make.' What does the poet value?","Money","Friendship","Books","Travel","Friendship","easy","Travel"
"hi","7","English","अंश: 'मेरा दिल उन दोस्तों से गर्म है जिन्हें मैं बनाता हूँ।' कवि क्या महत्व देता है?","धन","मित्रता","पुस्तकें","यात्रा","मित्रता","easy","Travel"
"mr","7","English","उद्धरण: 'माझे हृदय मी केलेल्या मित्रांमुळे उबदार आहे.' कवी काय महत्त्व देतो?","पैसा","मैत्री","पुस्तके","प्रवास","मैत्री","easy","Travel"
"en","7","English","Line: 'My heart is strong with friends I meet.' What human quality is reflected?","Strength from friendship","Fear","Anger","Laziness","Strength from friendship","easy","Travel"
"hi","7","English","पंक्ति: 'मेरा दिल उन दोस्तों से मजबूत है जिन्हें मैं मिलता हूँ।' कौन सा मानवीय गुण दिखता है?","मित्रता से शक्ति","डर","गुस्सा","आलस्य","मित्रता से शक्ति","easy","Travel"
"mr","7","English","ओळ: 'माझे हृदय मी भेटलेल्या मित्रांमुळे मजबूत आहे.' कोणता मानवी गुण दिसतो?","मैत्रीमुळे शक्ती","भीती","राग","आळस","मैत्रीमुळे शक्ती","easy","Travel"
"en","7","English","Extract: 'My heart is fresh with friends I love.' What feeling is expressed?","Anger","Love","Greed","Fear","Love","medium","Travel"
"hi","7","English","अंश: 'मेरा दिल उन दोस्तों से ताज़ा है जिन्हें मैं प्यार करता हूँ।' कौन सी भावना व्यक्त की गई है?","गुस्सा","प्रेम","लोभ","डर","प्रेम","medium","Travel"
"mr","7","English","उद्धरण: 'माझे हृदय मी प्रेम केलेल्या मित्रांमुळे ताजेतवाने आहे.' कोणती भावना व्यक्त केली आहे?","राग","प्रेम","लोभ","भीती","प्रेम","medium","Travel"
"en","7","English","Line: 'My heart is light with friends I keep.' What does 'light' symbolize here?","Happiness","Sadness","Fear","Anger","Happiness","medium","Travel"
"hi","7","English","पंक्ति: 'मेरा दिल उन दोस्तों से हल्का है जिन्हें मैं रखता हूँ।' यहाँ 'हल्का' किसका प्रतीक है?","खुशी","दुख","डर","गुस्सा","खुशी","medium","Travel"
"mr","7","English","ओळ: 'माझे हृदय मी ठेवलेल्या मित्रांमुळे हलके आहे.' येथे 'हलके' कशाचे प्रतीक आहे?","आनंद","दुःख","भीती","राग","आनंद","medium","Travel"
"en","7","English","Extract: 'My heart is gay with friends I win.' What does 'gay' mean here?","Sad","Happy","Angry","Fearful","Happy","medium","Travel"
"hi","7","English","अंश: 'मेरा दिल उन दोस्तों से प्रसन्न है जिन्हें मैं जीतता हूँ।' यहाँ 'gay' का अर्थ क्या है?","दुखी","खुश","गुस्सा","डर","खुश","medium","Travel"
"mr","7","English","उद्धरण: 'माझे हृदय मी जिंकलेल्या मित्रांमुळे आनंदी आहे.' येथे 'gay' चा अर्थ काय आहे?","दुःखी","आनंदी","रागावलेला","भीती","आनंदी","medium","Travel"
"en","7","English","Grammar: Identify the adjective in 'My heart is warm with friends I make.'","Heart","Warm","Friends","Make","Warm","easy","Travel"
"hi","7","English","व्याकरण: 'My heart is warm with friends I make.' में विशेषण पहचानें।","Heart","Warm","Friends","Make","Warm","easy","Travel"
"mr","7","English","व्याकरण: 'My heart is warm with friends I make.' मध्ये विशेषण ओळखा.","Heart","Warm","Friends","Make","Warm","easy","Travel"
"en","7","English","Extract: 'My heart is strong with friends I meet.' Which literary device is used?","Metaphor","Simile","Alliteration","Personification","Metaphor","hard","Travel"
"hi","7","English","अंश: 'मेरा दिल उन दोस्तों से मजबूत है जिन्हें मैं मिलता हूँ।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","रूपक","उपमा","अनुप्रास","मानवीकरण","रूपक","hard","Travel"
"mr","7","English","उद्धरण: 'माझे हृदय मी भेटलेल्या मित्रांमुळे मजबूत आहे.' येथे कोणता अलंकार वापरला आहे?","रूपक","उपमा","अनुप्रास","मानवीकरण","रूपक","hard","Travel"
"en","7","English","Extract: 'Arunima Sinha was the first female amputee to climb Mount Everest.' Who is Arunima Sinha?","A singer","A mountaineer","A teacher","A doctor","A mountaineer","easy","Conquering the Summit"
"hi","7","English","अंश: 'अरुणिमा सिन्हा माउंट एवरेस्ट पर चढ़ने वाली पहली महिला दिव्यांग थीं।' अरुणिमा सिन्हा कौन हैं?","गायिका","पर्वतारोही","शिक्षिका","डॉक्टर","पर्वतारोही","easy","Conquering the Summit"
"mr","7","English","उद्धरण: 'अरुणिमा सिन्हा ही माउंट एव्हरेस्ट सर करणारी पहिली महिला दिव्यांग होती.' अरुणिमा सिन्हा कोण आहे?","गायिका","पर्वतारोहक","शिक्षिका","डॉक्टर","पर्वतारोहक","easy","Conquering the Summit"
"en","7","English","Line: 'She was determined to accomplish her dream.' What quality is shown?","Fear","Determination","Laziness","Anger","Determination","easy","Conquering the Summit"
"hi","7","English","पंक्ति: 'वह अपना सपना पूरा करने के लिए दृढ़ संकल्पित थी।' कौन सा गुण दिखता है?","डर","दृढ़ संकल्प","आलस्य","गुस्सा","दृढ़ संकल्प","easy","Conquering the Summit"
"mr","7","English","ओळ: 'ती तिचे स्वप्न पूर्ण करण्यासाठी ठाम होती.' कोणता गुण दिसतो?","भीती","ठामपणा","आळस","राग","ठामपणा","easy","Conquering the Summit"
"en","7","English","Extract: 'She trained rigorously before the climb.' What does 'rigorously' mean?","Casually","Strictly","Slowly","Softly","Strictly","medium","Conquering the Summit"
"hi","7","English","अंश: 'उसने चढ़ाई से पहले कठोर प्रशिक्षण लिया।' 'कठोर' का अर्थ क्या है?","साधारण रूप से","कठोरता से","धीरे","नरमी से","कठोरता से","medium","Conquering the Summit"
"mr","7","English","उद्धरण: 'तिने चढाईपूर्वी कठोर प्रशिक्षण घेतले.' 'कठोर' चा अर्थ काय आहे?","साधारणपणे","कठोरपणे","हळूहळू","मऊपणे","कठोरपणे","medium","Conquering the Summit"
"en","7","English","Line: 'She conquered the summit despite her disability.' What message does this convey?","Disability is a barrier","Hard work overcomes obstacles","Only men succeed","Mountains are easy","Hard work overcomes obstacles","medium","Conquering the Summit"
"hi","7","English","पंक्ति: 'अपनी दिव्यांगता के बावजूद उसने शिखर पर विजय प्राप्त की।' यह क्या संदेश देता है?","दिव्यांगता बाधा है","कड़ी मेहनत बाधाओं को पार करती है","केवल पुरुष सफल होते हैं","पहाड़ आसान हैं","कड़ी मेहनत बाधाओं को पार करती है","medium","Conquering the Summit"
"mr","7","English","ओळ: 'अपंगत्व असूनही तिने शिखर जिंकले.' हे काय संदेश देते?","अपंगत्व अडथळा आहे","कठोर परिश्रम अडथळे पार करतात","फक्त पुरुष यशस्वी होतात","डोंगर सोपे आहेत","कठोर परिश्रम अडथळे पार करतात","medium","Conquering the Summit"
"en","7","English","Grammar: Identify the noun in 'She climbed Mount Everest.'","She","Climbed","Mount Everest","Climbed","Mount Everest","easy","Conquering the Summit"
"hi","7","English","व्याकरण: 'She climbed Mount Everest.' में संज्ञा पहचानें।","She","Climbed","Mount Everest","Climbed","Mount Everest","easy","Conquering the Summit"
"mr","7","English","व्याकरण: 'ती माउंट एव्हरेस्ट सर केली.' मध्ये नाम ओळखा.","ती","सर केली","माउंट एव्हरेस्ट","सर केली","माउंट एव्हरेस्ट","easy","Conquering the Summit"
"en","7","English","Extract: 'Her extraordinary determination inspired many.' Which literary device is used?","Metaphor","Alliteration","Personification","Imagery","Imagery","hard","Conquering the Summit"
"hi","7","English","अंश: 'उसका असाधारण संकल्प कई लोगों को प्रेरित करता है।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","रूपक","अनुप्रास","मानवीकरण","चित्रात्मकता","चित्रात्मकता","hard","Conquering the Summit"
"mr","7","English","उद्धरण: 'तिचा असाधारण ठामपणा अनेकांना प्रेरित करतो.' येथे कोणता अलंकार वापरला आहे?","रूपक","अनुप्रास","मानवीकरण","प्रतिमा","प्रतिमा","hard","Conquering the Summit"
"en","7","English","Line: 'She became a symbol of courage.' What does 'symbol' mean here?","Object","Representation","Person","Mountain","Representation","hard","Conquering the Summit"
"hi","7","English","पंक्ति: 'वह साहस का प्रतीक बन गई।' यहाँ 'प्रतीक' का अर्थ क्या है?","वस्तु","प्रतिनिधित्व","व्यक्ति","पहाड़","प्रतिनिधित्व","hard","Conquering the Summit"
"mr","7","English","ओळ: 'ती धैर्याचे प्रतीक बनली.' येथे 'प्रतीक' चा अर्थ काय आहे?","वस्तू","प्रतिनिधित्व","व्यक्ती","डोंगर","प्रतिनिधित्व","hard","Conquering the Summit"
"en","7","English","Extract: 'Our freedom and security we enjoy today is because of brave men and women.' What is the main idea?","Sacrifice of soldiers","Importance of money","Love for travel","Role of teachers","Sacrifice of soldiers","easy","A Homage to Our Brave Soldiers"
"hi","7","English","अंश: 'आज जो स्वतंत्रता और सुरक्षा हम पाते हैं, वह बहादुर पुरुषों और महिलाओं के कारण है।' मुख्य विचार क्या है?","सैनिकों का बलिदान","धन का महत्व","यात्रा का प्रेम","शिक्षकों की भूमिका","सैनिकों का बलिदान","easy","A Homage to Our Brave Soldiers"
"mr","7","English","उद्धरण: 'आज आपण जी स्वातंत्र्य आणि सुरक्षा अनुभवतो ती शूर पुरुष आणि स्त्रियांमुळे आहे.' मुख्य कल्पना काय आहे?","सैनिकांचे बलिदान","पैशाचे महत्त्व","प्रवासावरील प्रेम","शिक्षकांची भूमिका","सैनिकांचे बलिदान","easy","A Homage to Our Brave Soldiers"
"en","7","English","Line: 'The National War Memorial was inaugurated in 2019.' Who inaugurated it?","President","Prime Minister","Army Chief","Governor","Prime Minister","easy","A Homage to Our Brave Soldiers"
"hi","7","English","पंक्ति: 'राष्ट्रीय युद्ध स्मारक 2019 में उद्घाटित हुआ।' किसने उद्घाटन किया?","राष्ट्रपति","प्रधानमंत्री","सेना प्रमुख","राज्यपाल","प्रधानमंत्री","easy","A Homage to Our Brave Soldiers"
"mr","7","English","ओळ: 'राष्ट्रीय युद्ध स्मारक 2019 मध्ये उद्घाटन झाले.' उद्घाटन कोणी केले?","राष्ट्रपती","पंतप्रधान","सेना प्रमुख","राज्यपाल","पंतप्रधान","easy","A Homage to Our Brave Soldiers"
"en","7","English","Extract: 'Each brick of the memorial is called a tablet.' What is inscribed on tablets?","Names of soldiers","Names of kings","Names of teachers","Names of poets","Names of soldiers","medium","A Homage to Our Brave Soldiers"
"hi","7","English","अंश: 'स्मारक की हर ईंट को टैबलेट कहा जाता है।' टैबलेट पर क्या अंकित है?","सैनिकों के नाम","राजाओं के नाम","शिक्षकों के नाम","कवियों के नाम","सैनिकों के नाम","medium","A Homage to Our Brave Soldiers"
"mr","7","English","उद्धरण: 'स्मारकातील प्रत्येक वीटला टॅबलेट म्हणतात.' टॅबलेटवर काय कोरले आहे?","सैनिकांची नावे","राजांची नावे","शिक्षकांची नावे","कवींची नावे","सैनिकांची नावे","medium","A Homage to Our Brave Soldiers"
"en","7","English","Line: 'There are 29,000 tablets with 26,000 names.' What does this number show?","Scale of sacrifice","Number of schools","Number of cities","Number of temples","Scale of sacrifice","medium","A Homage to Our Brave Soldiers"
"hi","7","English","पंक्ति: '29,000 टैबलेट पर 26,000 नाम हैं।' यह संख्या क्या दर्शाती है?","बलिदान का पैमाना","स्कूलों की संख्या","शहरों की संख्या","मंदिरों की संख्या","बलिदान का पैमाना","medium","A Homage to Our Brave Soldiers"
"mr","7","English","ओळ: '२९,००० टॅबलेटवर २६,००० नावे आहेत.' ही संख्या काय दर्शवते?","बलिदानाचे प्रमाण","शाळांची संख्या","शहरांची संख्या","मंदिरांची संख्या","बलिदानाचे प्रमाण","medium","A Homage to Our Brave Soldiers"
"en","7","English","Extract: 'Amar Jawan Jyoti represents an immortal flame.' Which literary device is used?","Metaphor","Simile","Alliteration","Personification","Metaphor","hard","A Homage to Our Brave Soldiers"
"hi","7","English","अंश: 'अमर जवान ज्योति अमर ज्योति का प्रतीक है।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","रूपक","उपमा","अनुप्रास","मानवीकरण","रूपक","hard","A Homage to Our Brave Soldiers"
"mr","7","English","उद्धरण: 'अमर जवान ज्योती अमर ज्योतीचे प्रतीक आहे.' येथे कोणता अलंकार वापरला आहे?","रूपक","उपमा","अनुप्रास","मानवीकरण","रूपक","hard","A Homage to Our Brave Soldiers"
"en","7","English","Grammar: Identify the noun in 'The memorial honours brave soldiers.'","Memorial","Honours","Brave","Soldiers","Soldiers","easy","A Homage to Our Brave Soldiers"
"hi","7","English","व्याकरण: 'स्मारक बहादुर सैनिकों का सम्मान करता है।' में संज्ञा पहचानें।","स्मारक","सम्मान करता है","बहादुर","सैनिक","सैनिक","easy","A Homage to Our Brave Soldiers"
"mr","7","English","व्याकरण: 'स्मारक शूर सैनिकांचा सन्मान करते.' मध्ये नाम ओळखा.","स्मारक","सन्मान करते","शूर","सैनिक","सैनिक","easy","A Homage to Our Brave Soldiers"
"en","7","English","Line: 'The memorial has four concentric circles.' What do they symbolize?","Seasons","Journey of soldier","Four directions","Four elements","Journey of soldier","hard","A Homage to Our Brave Soldiers"
"hi","7","English","पंक्ति: 'स्मारक में चार वृत्त हैं।' वे क्या प्रतीक हैं?","ऋतुएँ","सैनिक की यात्रा","चार दिशाएँ","चार तत्व","सैनिक की यात्रा","hard","A Homage to Our Brave Soldiers"
"mr","7","English","ओळ: 'स्मारकात चार वर्तुळे आहेत.' ती काय प्रतीक आहेत?","ऋतु","सैनिकाचा प्रवास","चार दिशा","चार घटक","सैनिकाचा प्रवास","hard","A Homage to Our Brave Soldiers"
"en","7","English","Extract: 'My dear soldiers, you guard the nation day and night.' What is the poet expressing?","Anger","Gratitude","Fear","Sadness","Gratitude","easy","My Dear Soldiers"
"hi","7","English","अंश: 'मेरे प्रिय सैनिकों, आप दिन-रात देश की रक्षा करते हैं।' कवि क्या व्यक्त कर रहा है?","गुस्सा","कृतज्ञता","डर","दुःख","कृतज्ञता","easy","My Dear Soldiers"
"mr","7","English","उद्धरण: 'माझ्या प्रिय सैनिकांनो, तुम्ही रात्रंदिवस देशाचे रक्षण करता.' कवी काय व्यक्त करतो?","राग","कृतज्ञता","भीती","दुःख","कृतज्ञता","easy","My Dear Soldiers"
"en","7","English","Line: 'You sacrifice your comfort for our safety.' What quality of soldiers is shown?","Selfishness","Bravery","Selflessness","Laziness","Selflessness","easy","My Dear Soldiers"
"hi","7","English","पंक्ति: 'आप हमारी सुरक्षा के लिए अपना आराम त्यागते हैं।' सैनिकों का कौन सा गुण दिखता है?","स्वार्थ","बहादुरी","निःस्वार्थता","आलस्य","निःस्वार्थता","easy","My Dear Soldiers"
"mr","7","English","ओळ: 'तुम्ही आमच्या सुरक्षिततेसाठी तुमचा आराम त्यागता.' सैनिकांचा कोणता गुण दिसतो?","स्वार्थ","शौर्य","निःस्वार्थता","आळस","निःस्वार्थता","easy","My Dear Soldiers"
"en","7","English","Extract: 'In harsh conditions you stand tall.' What does 'stand tall' symbolize?","Fear","Strength","Weakness","Anger","Strength","medium","My Dear Soldiers"
"hi","7","English","अंश: 'कठिन परिस्थितियों में आप ऊँचे खड़े रहते हैं।' 'ऊँचे खड़े रहना' किसका प्रतीक है?","डर","शक्ति","कमजोरी","गुस्सा","शक्ति","medium","My Dear Soldiers"
"mr","7","English","उद्धरण: 'कठीण परिस्थितीत तुम्ही उंच उभे राहता.' 'उंच उभे राहणे' कशाचे प्रतीक आहे?","भीती","शक्ती","कमजोरी","राग","शक्ती","medium","My Dear Soldiers"
"en","7","English","Line: 'Your courage inspires generations.' What message is conveyed?","Courage is temporary","Courage inspires others","Courage is useless","Courage is fear","Courage inspires others","medium","My Dear Soldiers"
"hi","7","English","पंक्ति: 'आपका साहस पीढ़ियों को प्रेरित करता है।' क्या संदेश दिया गया है?","साहस अस्थायी है","साहस दूसरों को प्रेरित करता है","साहस बेकार है","साहस डर है","साहस दूसरों को प्रेरित करता है","medium","My Dear Soldiers"
"mr","7","English","ओळ: 'तुमचे धैर्य पिढ्यांना प्रेरणा देते.' काय संदेश दिला आहे?","धैर्य तात्पुरते आहे","धैर्य इतरांना प्रेरणा देते","धैर्य निरुपयोगी आहे","धैर्य भीती आहे","धैर्य इतरांना प्रेरणा देते","medium","My Dear Soldiers"
"en","7","English","Grammar: Identify the verb in 'Soldiers guard the nation.'","Soldiers","Guard","Nation","The","Guard","easy","My Dear Soldiers"
"hi","7","English","व्याकरण: 'सैनिक राष्ट्र की रक्षा करते हैं।' में क्रिया पहचानें।","सैनिक","रक्षा करना","राष्ट्र","यह","रक्षा करना","easy","My Dear Soldiers"
"mr","7","English","व्याकरण: 'सैनिक राष्ट्राचे रक्षण करतात.' मध्ये क्रियापद ओळखा.","सैनिक","रक्षण करतात","राष्ट्र","हे","रक्षण करतात","easy","My Dear Soldiers"
"en","7","English","Extract: 'My dear soldiers, you are immortal flame.' Which literary device is used?","Simile","Metaphor","Alliteration","Personification","Metaphor","hard","My Dear Soldiers"
"hi","7","English","अंश: 'मेरे प्रिय सैनिकों, आप अमर ज्योति हैं।' यहाँ कौन सा अलंकार प्रयोग हुआ है?","उपमा","रूपक","अनुप्रास","मानवीकरण","रूपक","hard","My Dear Soldiers"
"mr","7","English","उद्धरण: 'माझ्या प्रिय सैनिकांनो, तुम्ही अमर ज्योती आहात.' येथे कोणता अलंकार वापरला आहे?","उपमा","रूपक","अनुप्रास","मानवीकरण","रूपक","hard","My Dear Soldiers"
"en","7","English","Line: 'Your sacrifice lights our path.' What does this metaphor mean?","Sacrifice is useless","Sacrifice guides us","Sacrifice is fear","Sacrifice is anger","Sacrifice guides us","hard","My Dear Soldiers"
"hi","7","English","पंक्ति: 'आपका बलिदान हमारा मार्ग प्रकाशित करता है।' इस रूपक का क्या अर्थ है?","बलिदान बेकार है","बलिदान हमें मार्गदर्शन करता है","बलिदान डर है","बलिदान गुस्सा है","बलिदान हमें मार्गदर्शन करता है","hard","My Dear Soldiers"
"mr","7","English","ओळ: 'तुमचा बलिदान आमचा मार्ग प्रकाशित करतो.' या रूपकाचा अर्थ काय आहे?","बलिदान निरुपयोगी आहे","बलिदान आम्हाला मार्गदर्शन करतो","बलिदान भीती आहे","बलिदान राग आहे","बलिदान आम्हाला मार्गदर्शन करतो","hard","My Dear Soldiers"
"en","7","English","Extract: 'Rani Abbakka was the queen of Ullal.' What was she known for?","Her bravery","Her laziness","Her wealth","Her poetry","Her bravery","easy","Rani Abbakka"
"hi","7","English","अंश: 'रानी अब्बक्का उल्लाल की रानी थीं।' वह किसके लिए जानी जाती थीं?","उनकी बहादुरी","उनका आलस्य","उनकी संपत्ति","उनकी कविता","उनकी बहादुरी","easy","Rani Abbakka"
"mr","7","English","उद्धरण: 'राणी अब्बक्का उल्लाळची राणी होती.' ती कशासाठी ओळखली जात होती?","तिचे शौर्य","तिचा आळस","तिचे धन","तिची कविता","तिचे शौर्य","easy","Rani Abbakka"
"en","7","English","Line: 'She fought against the Portuguese.' What does this show?","Her courage","Her fear","Her laziness","Her greed","Her courage","easy","Rani Abbakka"
"hi","7","English","पंक्ति: 'उन्होंने पुर्तगालियों के खिलाफ लड़ाई लड़ी।' यह क्या दर्शाता है?","उनका साहस","उनका डर","उनका आलस्य","उनका लोभ","उनका साहस","easy","Rani Abbakka"
